ID;Recipe Name;Ingredient 1;Quantity 1 (kg);Ingredient 2;Quantity 2 (kg);Ingredient 3;Quantity 3 (kg);Instructions
WECPFW;Chicken Curry;spinach;0.15;feta cheese;0.32;eggs;0.19;Boil the pasta, cook the bacon, mix with beaten eggs
256EV2;Lemon Garlic Shrimp;mixed vegetables;0.52;soy sauce;0.8;garlic;0.28;Sauté shrimp with lemon and garlic
MGQBS1;Caesar Salad;beef;0.77;taco shells;0.87;salsa;0.45;Sauté shrimp with lemon and garlic
PXQX6G;Mushroom Risotto;butter;0.25;sugar;0.62;cocoa powder;0.85;Mix spinach and feta with beaten eggs, bake
Y1PEW6;Chocolate Brownies;shrimp;0.35;lemon;0.4;garlic;0.33;Cream butter and sugar, mix in cocoa powder, bake
DLLJRQ;Lemon Garlic Shrimp;mushrooms;0.78;Arborio rice;0.54;vegetable broth;0.26;Cream butter and sugar, mix in cocoa powder, bake
9RZEA5;Caesar Salad;lettuce;0.83;croutons;0.67;Caesar dressing;0.27;Boil the pasta, cook the bacon, mix with beaten eggs
KBVS9Q;Mushroom Risotto;pasta;0.41;eggs;0.74;bacon;0.6;Cream butter and sugar, mix in cocoa powder, bake
0SA79R;Beef Tacos;mushrooms;0.68;Arborio rice;0.39;vegetable broth;0.94;Mix flour, mashed bananas, and milk, cook pancakes
72S7XA;Pasta Carbonara;lettuce;0.3;croutons;0.53;Caesar dressing;0.16;Stir-fry vegetables with soy sauce and garlic
YD9MZ5;Vegetable Stir-Fry;flour;0.57;bananas;0.32;milk;0.77;Sauté shrimp with lemon and garlic
FNQU7K;Chicken Curry;mushrooms;0.24;Arborio rice;0.54;vegetable broth;0.3;Cream butter and sugar, mix in cocoa powder, bake
NK94PL;Lemon Garlic Shrimp;mixed vegetables;0.55;soy sauce;0.25;garlic;0.58;Cook chicken in curry paste and coconut milk
0MW6AZ;Beef Tacos;mixed vegetables;0.53;soy sauce;0.5;garlic;0.72;Cook chicken in curry paste and coconut milk
1AOYK4;Beef Tacos;shrimp;0.76;lemon;0.67;garlic;0.6;Stir-fry vegetables with soy sauce and garlic
LLNR8I;Banana Pancakes;mixed vegetables;0.37;soy sauce;0.87;garlic;0.9;Stir-fry vegetables with soy sauce and garlic
HKC584;Vegetable Stir-Fry;flour;0.54;bananas;0.5;milk;0.24;Boil the pasta, cook the bacon, mix with beaten eggs
59BOYL;Vegetable Stir-Fry;beef;0.31;taco shells;0.17;salsa;0.47;Boil the pasta, cook the bacon, mix with beaten eggs
AZ3GQK;Caesar Salad;pasta;0.43;eggs;0.52;bacon;0.6;Sauté shrimp with lemon and garlic
N41WXL;Chocolate Brownies;mushrooms;0.87;Arborio rice;0.52;vegetable broth;0.65;Cream butter and sugar, mix in cocoa powder, bake
HUWVU8;Beef Tacos;pasta;0.6;eggs;0.66;bacon;0.95;Mix flour, mashed bananas, and milk, cook pancakes
BRTKXJ;Vegetable Stir-Fry;beef;0.27;taco shells;0.94;salsa;0.39;Sauté shrimp with lemon and garlic
7GUGYQ;Chocolate Brownies;lettuce;0.54;croutons;0.31;Caesar dressing;0.65;Mix flour, mashed bananas, and milk, cook pancakes
MV19E4;Banana Pancakes;shrimp;0.69;lemon;1.0;garlic;0.69;Cook beef, assemble in taco shells, top with salsa
A6OW2R;Vegetable Stir-Fry;mixed vegetables;0.34;soy sauce;0.21;garlic;0.55;Sauté shrimp with lemon and garlic
W8IVZJ;Spinach and Feta Quiche;pasta;0.11;eggs;0.14;bacon;0.5;Combine lettuce, croutons, and dressing
GL4VUI;Vegetable Stir-Fry;butter;0.8;sugar;0.67;cocoa powder;0.97;Sauté mushrooms, cook rice in vegetable broth
MMUXGV;Lemon Garlic Shrimp;chicken;0.75;coconut milk;0.62;curry paste;0.55;Mix spinach and feta with beaten eggs, bake
OLISWB;Chocolate Brownies;spinach;0.27;feta cheese;0.72;eggs;0.95;Mix flour, mashed bananas, and milk, cook pancakes
548Q57;Chocolate Brownies;shrimp;0.38;lemon;0.93;garlic;0.93;Stir-fry vegetables with soy sauce and garlic
3POR7E;Beef Tacos;flour;0.63;bananas;0.66;milk;0.18;Stir-fry vegetables with soy sauce and garlic
B6E6EU;Banana Pancakes;lettuce;0.39;croutons;0.7;Caesar dressing;0.17;Cook chicken in curry paste and coconut milk
UKWCF8;Banana Pancakes;butter;0.47;sugar;0.11;cocoa powder;0.69;Stir-fry vegetables with soy sauce and garlic
VSTIN4;Lemon Garlic Shrimp;mushrooms;0.51;Arborio rice;0.97;vegetable broth;0.73;Cook beef, assemble in taco shells, top with salsa
R30OUI;Lemon Garlic Shrimp;pasta;0.62;eggs;0.71;bacon;0.55;Sauté shrimp with lemon and garlic
T94M4Z;Pasta Carbonara;beef;0.62;taco shells;0.81;salsa;0.86;Sauté mushrooms, cook rice in vegetable broth
AZD2MZ;Vegetable Stir-Fry;flour;0.24;bananas;0.65;milk;0.26;Mix flour, mashed bananas, and milk, cook pancakes
K9WTNP;Banana Pancakes;pasta;0.1;eggs;0.95;bacon;0.19;Cream butter and sugar, mix in cocoa powder, bake
I9T72K;Chocolate Brownies;chicken;0.33;coconut milk;0.44;curry paste;0.25;Sauté mushrooms, cook rice in vegetable broth
Q3Y0QY;Chocolate Brownies;butter;0.66;sugar;0.36;cocoa powder;0.16;Sauté mushrooms, cook rice in vegetable broth
ATMWUO;Chocolate Brownies;mixed vegetables;0.11;soy sauce;0.81;garlic;0.57;Boil the pasta, cook the bacon, mix with beaten eggs
78YK2L;Vegetable Stir-Fry;mixed vegetables;0.74;soy sauce;0.19;garlic;0.36;Stir-fry vegetables with soy sauce and garlic
OCWK1D;Spinach and Feta Quiche;beef;0.79;taco shells;0.78;salsa;0.59;Combine lettuce, croutons, and dressing
BBFYGH;Lemon Garlic Shrimp;pasta;0.27;eggs;0.58;bacon;0.84;Boil the pasta, cook the bacon, mix with beaten eggs
FINF01;Lemon Garlic Shrimp;beef;0.77;taco shells;0.65;salsa;0.89;Cook beef, assemble in taco shells, top with salsa
TS98QT;Beef Tacos;mixed vegetables;0.46;soy sauce;0.79;garlic;0.38;Mix spinach and feta with beaten eggs, bake
64XTFF;Chocolate Brownies;chicken;0.61;coconut milk;0.68;curry paste;0.72;Combine lettuce, croutons, and dressing
5O92AX;Banana Pancakes;mixed vegetables;0.21;soy sauce;0.31;garlic;0.54;Mix spinach and feta with beaten eggs, bake
R7RLY7;Mushroom Risotto;lettuce;0.67;croutons;0.72;Caesar dressing;0.15;Boil the pasta, cook the bacon, mix with beaten eggs
ZOESVJ;Caesar Salad;lettuce;0.19;croutons;0.2;Caesar dressing;0.64;Combine lettuce, croutons, and dressing
5NHBVU;Caesar Salad;pasta;0.82;eggs;0.63;bacon;0.2;Boil the pasta, cook the bacon, mix with beaten eggs
DXEO2R;Pasta Carbonara;lettuce;0.43;croutons;0.6;Caesar dressing;0.68;Mix spinach and feta with beaten eggs, bake
9HLAUW;Caesar Salad;mushrooms;0.44;Arborio rice;0.21;vegetable broth;0.78;Boil the pasta, cook the bacon, mix with beaten eggs
GCO1FF;Lemon Garlic Shrimp;lettuce;0.96;croutons;0.6;Caesar dressing;0.38;Mix spinach and feta with beaten eggs, bake
ELW9T8;Caesar Salad;mixed vegetables;0.93;soy sauce;0.73;garlic;0.63;Sauté mushrooms, cook rice in vegetable broth
ZS5WYB;Chicken Curry;chicken;0.53;coconut milk;0.36;curry paste;0.7;Cook beef, assemble in taco shells, top with salsa
P6BBAN;Spinach and Feta Quiche;spinach;0.74;feta cheese;0.64;eggs;0.68;Cook beef, assemble in taco shells, top with salsa
ZJN2RM;Chicken Curry;beef;0.11;taco shells;0.71;salsa;0.31;Stir-fry vegetables with soy sauce and garlic
4ZA3PH;Mushroom Risotto;lettuce;0.2;croutons;0.16;Caesar dressing;0.53;Boil the pasta, cook the bacon, mix with beaten eggs
9UF1V6;Banana Pancakes;flour;0.37;bananas;0.37;milk;0.16;Combine lettuce, croutons, and dressing
DHY9F6;Mushroom Risotto;lettuce;0.7;croutons;0.24;Caesar dressing;0.18;Sauté shrimp with lemon and garlic
E4TEOJ;Mushroom Risotto;lettuce;0.91;croutons;0.6;Caesar dressing;0.39;Boil the pasta, cook the bacon, mix with beaten eggs
X3P5UK;Banana Pancakes;pasta;0.23;eggs;0.7;bacon;0.59;Cook beef, assemble in taco shells, top with salsa
VENA1U;Chocolate Brownies;mushrooms;0.92;Arborio rice;0.31;vegetable broth;0.33;Stir-fry vegetables with soy sauce and garlic
JJJICI;Mushroom Risotto;beef;0.59;taco shells;0.21;salsa;0.8;Mix flour, mashed bananas, and milk, cook pancakes
O8VX26;Chicken Curry;shrimp;0.23;lemon;0.49;garlic;0.54;Cook chicken in curry paste and coconut milk
AJE9G8;Mushroom Risotto;shrimp;0.21;lemon;0.49;garlic;0.52;Cook beef, assemble in taco shells, top with salsa
DBHM84;Banana Pancakes;flour;0.37;bananas;0.98;milk;0.92;Cream butter and sugar, mix in cocoa powder, bake
P8XUFK;Mushroom Risotto;flour;0.89;bananas;0.81;milk;0.82;Cream butter and sugar, mix in cocoa powder, bake
